university,ouac_code,program_name,status,admission_grade,admission_date,supplemental_required,supp_notes,comments
Columbia,,Neuroscience,Offer,98.89,3/27/2026,,"Two time Canada-Wide Science Fair medallist, a bunch of ecs, nationally ranked for a couple clubs, school ski team, newspaper, yearbook",I'm not going to the US rn
Embry-Riddle Aeronautical University,,Aeronautical Science (Flight),Offer,90.83,2/11/2026,,1 paragraph answer about why you want to pursue a BSc in Aeronautical Science and extra-curriculars.,best university in the world for aviation
Guelph,GAS,Arts & Science,Offer,96.33,11/17/2025,,,$2000 entry scholarship
Guelph,GAS,Arts & Science,Offer,96,12/15/2025,,,
Guelph,GAS,Arts & Science,Offer,95,12/15/2025,,,
Guelph,GAS,Arts & Science,Offer,88.5,12/15/2025,,,
Guelph,GAS,Arts & Science,Offer,81,4/15/2026,,,"Literally don’t stress, I was so stressed with my average but it worked out!"
Guelph,GBA,Civil Engineering,Offer,91.6,2/26/2026,,,
Guelph,GBD,Management Economics & Finance (Co-op option),Offer,98.33,11/17/2025,,,IB Diploma
Guelph,GBD,Management Economics & Finance (Co-op option),Offer,97.17,11/17/2025,,,$2000 scholarship
Guelph,GBD,Management Economics & Finance (Co-op option),Offer,93.5,2/3/2026,,,
Guelph,GBD,Management Economics & Finance (Co-op option),Offer,93,2/3/2026,,,
Guelph,GBD,Management Economics & Finance,Offer,89.83,2/26/2026,,,
Guelph,GBD,Management Economics & Finance,Offer,86,3/5/2026,,,
Guelph,GBD,Management Economics & Finance (No co-op),Offer,80,3/5/2026,,,
Guelph,GBE,Marketing Management (Co-op option),Offer,93,2/3/2026,,,
Guelph,GBE,Marketing Management (Co-op option),Offer,93,2/3/2026,,,
Guelph,GBE,Marketing Management (No Coop),Offer,86.5,2/3/2026,,,
Guelph,GBE,Marketing Management (Co-op),Offer,87,2/26/2026,,,
Guelph,GBE,Marketing Management (Co-op),Offer,89.25,3/5/2026,,,89.25 sem 1
Guelph,GBF,Management (Co-op option),Offer,92.67,11/17/2025,,Extra Curriculars and Awards,
Guelph,GBF,Management (Co-op option),Offer,96,12/15/2025,,,
Guelph,GBF,Management (Co-op option),Offer,88.83,2/2/2026,,,
Guelph,GBI,Biomedical Engineering (Co-op),Offer,95.5,2/3/2026,,,+3k Entrance Scholarship
Guelph,GBI,Biomedical Engineering,Offer,93.2,2/3/2026,,,
Guelph,GBI,Biomedical Engineering (Co-Op),Offer,90.5,2/25/2026,,,
Guelph,GBI,Biomedical Engineering,Offer,94,2/26/2026,,,
Guelph,GBI,Biomedical Engineering (Co-op),Offer,92.2,2/26/2026,,,didn't do supp app
Guelph,GBI,Biomedical Engineering,Offer,92.17,2/26/2026,,,
Guelph,GBI,Biomedical Engineering,Offer,91.2,2/26/2026,,,1k scholarship
